Code,Dec,key name
0x28,40,enter
0x29,41,esc
0x2A,42,backspace
0x2B,43,tab
0x2C,44,space
0x39,57,caps
0x3A,58,f1
0x3B,59,f2
0x3C,60,f3
0x3D,61,f4
0x3E,62,f5
0x3F,63,f6
0x40,64,f7
0x41,65,f8
0x42,66,f9
0x43,67,f10
0x44,68,f11
0x45,69,f12
0x46,70,prsc
0x47,71,sclk
0x48,72,pause
0x49,73,insert
0x4A,74,home
0x4B,75,pgup
0x4C,76,delete
0x4D,77,end
0x4E,78,pgdn
0x4F,79,right
0x50,80,left
0x51,81,down
0x52,82,up
0x53,83,numlock
0x54,84,g/
0x55,85,g*
0x56,86,g-
0x57,87,g+
0x58,88,genter
0x59,89,g1
0x5A,90,g2
0x5B,91,g3
0x5C,92,g4
0x5D,93,g5
0x5E,94,g6
0x5F,95,g7
0x60,96,g8
0x61,97,g9
0x62,98,g0
0x63,99,gdot
0x65,101,app
0xE0,224,lctrl
0xE1,225,lshift
0xE2,226,lalt
0xE3,227,lwin
0xE4,228,rctrl
0xE5,229,rshift
0xE6,230,ralt
0xE7,231,rwin
